E:\hovahyii\.agent-work\s-19949f13\summarize.py:6: DeprecationWarning: datetime.datetime.utcfromtimestamp() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.fromtimestamp(timestamp, datetime.UTC).
  return datetime.datetime.utcfromtimestamp(ms/1000).strftime('%Y-%m-%d %H:%M')
2026-07-13 04:05 | mwx1337472 | TEXT_MSG | 13/7/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-07-13 04:10 | mwx1337472 | IMAGESPAN_MSG | [IMG]Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-07-13 04:10 | mwx1337472 | TEXT_MSG | @Yim Jian Leon   @Kee Yuhang   @Pravin AL Sreedharan   Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-07-13 06:16 | y00816842 | CARD_MSG | [CARD]
2026-07-13 06:16 | y00816842 | TEXT_MSG | For KV, no more sites for 4G MOD
2026-07-13 06:17 | y00816842 | TEXT_MSG | @Gan Serene  @Murali Krishna Bogi 
Moving forward, the following PIC will be in charge of their respective region
KV SR -  @Muhammad Asyraf Bin Che Hasnan 
EC NR -  @Kee Yuhang
2026-07-15 04:12 | mwx1337472 | PICTURE_MSG | [IMG]
2026-07-15 04:12 | mwx1337472 | TEXT_MSG | Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-07-15 04:13 | mwx1337472 | TEXT_MSG | 15/7/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-07-15 04:49 | g50056879 | TEXT_MSG | @Muhammad Asyraf Bin Che Hasnan @Kee Yuhang  Please update work site list! https://onebox.huawei.com/v/1c870e81b61a8f53e06043a30ce91fee?type=0
2026-08-05 08:37 | mwx1337472 | IMAGESPAN_MSG | [IMG]05/8/26 Traffic monitoring: SR&NR - After activity of Swap & Mod Traffic reduce >20% *all detected sector found in the modernize tracker are removed
2026-08-05 08:38 | mwx1337472 | PICTURE_MSG | [IMG]
2026-08-05 08:38 | mwx1337472 | TEXT_MSG | Traffic monitoring: CENTRAL & EASTERN- After activity of Swap Traffic reduce >20%. *critical KV EC site which have comments are removed.
2026-08-27 10:32 | k84302625 | PICTURE_MSG | [IMG]
2026-08-27 10:33 | k84302625 | TEXT_MSG | SDLK NR35  Sector Swap Clockwise Direction Pls help to resolve
2026-08-27 10:35 | k84302625 | TEXT_MSG | @Yim Jian Leon
TOTAL: 77
